district,analyzed_population,time_period,percentage_population,insecurity_level,insecurity_desc_short,insecurity_desc_long
Blantyre,520999.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Blantyre city,885237.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Chikhwawa,640808.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Chiradzulu,396198.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Chitipa,260584.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Dedza,947812.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Dowa,901525.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Karonga,414100.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Kasungu,972188.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Likoma,16302.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Lilongwe,1869640.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Lilongwe city,1199718.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Machinga,904135.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Mangochi,1388626.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Mchinji,686764.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Mulanje,781841.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Mwanza,156942.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Mzimba,1033492.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Mzuzu city,284880.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Neno,156029.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Nkhata bay,314810.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Nkhotakota,446006.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Nsanje,332131.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Ntcheu,775834.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Ntchisi,376921.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Phalombe,502825.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Rumphi,259391.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Salima,566301.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Thyolo,793786.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Zomba,847624.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
Zomba city,119116.0,May-Sept 2024,0,5,Catastrophe or famine,"Households have an extreme lack of foodand/or cannot meet other basic needs even after full employment of copingstrategies. Starvation, death, destitution and extremely critical acute malnutritionlevels are evident. For famine classification, area needs to have extreme critical levelsof acute malnutrition and mortality"
